決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2019,46,17,5,336068,鏡野町,0,,21,1,7,4,2,4,1,2,5,1,1090,603,0,0,456,2149,25068,25068,0,0,192144,9795,4456,1370,19105,1244,0,0,57059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23468.0,335858.0,16.0,1.0,4752.0,4288.0,464.0,0.0,2302.0,331.0,0.0,1504.0,467.0,7054.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,335858.0,0.0,25068.0,25068.0,0.0,0.0,25068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,336220,勝央町,0,,21,1,7,4,2,6,1,2,5,1,2841,1227,0,0,835,4903,17112,17112,0,0,49861,3145,32,424,979,3,0,0,15112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694.0,93265.0,12.0,1.0,2841.0,2841.0,0.0,0.0,1231.0,96.0,0.0,1084.0,51.0,4072.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,93265.0,0.0,14019.0,14019.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,341002,広島市,0,,21,1,1,2,2,1,4,3,6,1,0,0,0,0,0,0,114103,114103,0,0,531912,0,0,5,6427,0,0,0,188014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16470.0,856931.0,12.0,1.0,5152.0,4474.0,210.0,468.0,3083.0,908.0,0.0,2116.0,59.0,8235.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,0.0,0.0,856931.0,0.0,555.0,114103.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,342092,三次市,0,,21,1,5,3,1,3,1,2,6,1,7744,2895,0,0,2130,12769,49618,49618,0,0,350047,29112,1310,5297,12439,260,0,3408,146813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440.0,620513.0,24.0,2.0,7744.0,7544.0,200.0,0.0,1847.0,104.0,0.0,1545.0,198.0,9591.0,93.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,620513.0,0.0,49618.0,49618.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,342122,東広島市,0,,21,1,4,3,2,4,1,2,5,1,2799,2100,0,129,948,5976,18763,18763,0,0,103726,9725,277,1088,4400,13,378,0,32739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30577.0,207662.0,12.0,1.0,2799.0,2717.0,0.0,82.0,2102.0,699.0,0.0,1085.0,318.0,4901.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,207662.0,0.0,18763.0,18763.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,342157,江田島市,0,,21,1,7,3,1,4,1,2,5,1,0,0,0,0,0,0,12670,12670,0,0,120863,7373,3876,837,1874,0,365,0,32829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9285.0,189972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189972.0,0.0,8451.0,8451.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,352039,山口市,0,,21,1,4,3,1,3,4,2,6,2,19306,8427,0,2036,5965,35734,52607,52607,0,0,350706,25583,7234,4176,29163,0,0,0,100558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40592.0,646353.0,48.0,4.0,19306.0,18490.0,816.0,0.0,8458.0,153.0,0.0,7920.0,385.0,27764.0,209.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,646353.0,0.0,52607.0,52607.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,352047,萩市,0,,21,1,6,3,1,3,1,2,6,1,0,0,0,0,0,0,40262,40262,0,0,323792,16441,8140,1296,11705,1384,4832,0,69489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20976.0,498317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498317.0,0.0,40262.0,40262.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,352080,岩国市,0,,21,1,4,3,1,3,4,2,7,3,2940,1531,0,0,1000,5471,14956,14956,0,0,117604,11342,98,2181,6945,0,0,0,42035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3653.0,2720.0,207005.0,12.0,1.0,2940.0,2940.0,0.0,0.0,1536.0,292.0,0.0,1198.0,46.0,4476.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,207005.0,0.0,14956.0,14956.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,17,5,352110,長門市,0,,21,1,6,3,1,2,1,2,7,1,18189,8296,0,0,5316,31801,41700,41700,0,0,333802,33702,9400,3605,49134,28,3107,0,84418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3542.0,594239.0,48.0,4.0,18189.0,17253.0,936.0,0.0,8330.0,30.0,165.0,7724.0,411.0,26519.0,208.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,594239.0,0.0,41700.0,41700.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
