決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2020,47,8,0,220001,静岡県,1,清水港,12,1,0,1,1,0,0,0,0,0,3390401,0,0,0,0,200,14,6250665,2796893,910391,250264,0,0,0,0,0,0,10,56842,857940,513624,358422,97867,0,0,0,0,0,0,3,527650,0,0,0,0,1099595,741000,1196692,846636,84336,0,0,0,0,0,0,0,0,0,0,0,0,0,960792,739944,83900,5468001,2855393,516367,23,8,31,2,23,0,0,8,0,0,清水港港湾交流センター、日の出駐車場、日の出緑地及び遊歩道,荷捌き用上屋、多目的上屋,,貸付敷地、PB係留施設、岸壁係船料等,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,220001,静岡県,2,田子の浦港,12,1,0,1,1,0,0,0,0,0,3570401,0,0,0,0,30,8,1024412,170434,88408,74935,0,0,0,0,0,0,6,11110,216724,100390,51504,6936,0,0,0,0,0,0,1,12193,0,0,0,0,601986,1621000,630419,0,14298,0,0,0,0,0,0,0,0,0,0,0,0,0,275148,115820,33991,1176391,255732,130160,4,4,8,3,4,0,0,4,0,0,,荷捌き用上屋,,貸付敷地,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,220001,静岡県,3,御前崎港,12,1,0,1,1,0,0,0,0,0,3570401,0,0,0,0,30,3,562212,456999,46427,115988,0,0,0,0,0,0,2,2520,10919,22378,2537,658,0,0,0,0,0,0,1,118856,0,0,0,0,330956,1060000,409062,94807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888439,143771,116646,0,0,0,3,0,0,0,0,0,0,,荷捌き用上屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,1,衣浦港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,3700,0,47982,16263,24368,0,0,0,0,0,0,1,139034,0,82211,0,393,694223,620000,1119304,513879,2788654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7582,46864,1249497,537724,2860279,0,2,2,3,0,0,0,2,0,0,,東ふ頭第６号上屋（主要取扱貨物：その他食料工業品）,,給水施設,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,2,三河港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,30,2,210496,0,0,0,0,0,0,0,0,0,5,16198,0,210067,62444,28477,0,0,0,0,0,0,1,150000,0,88695,0,422,858885,370000,1555149,508499,1166786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6756,50276,1853911,577699,1245961,0,5,5,2,0,0,0,5,0,0,豊橋コンテナターミナル,神野埠頭２号上屋（取扱貨物：原木）、神野埠頭１号上屋（取扱貨物：塩化カルシウム）、蒲郡埠頭１号上屋（取扱貨物：鋳物砂）、蒲郡埠頭２号上屋（取扱貨物：合板）、蒲郡埠頭３号上屋（取扱貨物：合板）,,給水施設,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,3,常滑港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79729,200000,93303,10994,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93303,10994,562,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,4,師崎港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0,6562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,5,吉田港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10140,0,9179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9179,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,6,福江港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17057,0,28061,325,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28061,325,17,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,7,河和港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5213,0,8691,1678,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8691,1678,86,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,8,東幡豆港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21796,0,19730,6468,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19730,6468,330,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,9,伊良湖港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7061,0,10700,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10700,90,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,230006,愛知県,10,冨具崎港,12,1,0,1,1,0,0,0,0,0,3450401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10986,0,9945,156,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9945,156,8,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,240001,三重県,1,津松阪港,12,1,0,1,1,0,0,0,0,0,3461216,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,2859,20250,18810,14482,1726,0,0,0,0,0,0,0,0,0,0,0,0,80375,1472000,16830,4605,138360,0,0,0,0,0,0,0,0,0,0,0,0,0,26812,25022,1094,62452,44109,141180,0,0,0,3,0,0,0,0,0,0,,荷物の一時保管場所,,ヨットハーバー施設、荷物の一時保管場所,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,240001,三重県,2,尾鷲港,12,1,0,1,1,0,0,0,0,0,3461216,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19001,20000,5187,5187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,1353,0,6540,6540,0,0,0,0,3,0,0,0,0,0,0,,,,漁業用施設、電気通信施設等,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,240001,三重県,3,桑名港,12,1,0,1,1,0,0,0,0,0,3461216,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,240001,三重県,4,千代崎港,12,1,0,1,1,0,0,0,0,0,3461216,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,240001,三重県,5,白子港,12,1,0,1,1,0,0,0,0,0,3461216,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,240001,三重県,6,宇治山田港,12,1,0,1,1,0,0,0,0,0,3461216,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,3036,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,3036,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
